 ID    Period    HX    HY    HMag   eHMag 
 608418    287.015  1210.179  1249.445    21.996     0.204  
 479358    253.514   165.583   983.280    22.885     0.194  
 449588    272.561   418.105   920.864    22.757     0.203  
 242358    292.075   200.187   497.320    22.422     0.196  
 311138    299.998   280.781   636.955    22.506     0.201  
 644398    256.965   288.277  1325.193    22.905     0.194  
 721368    232.619   823.139  1487.382    22.938     0.204  
 394458    237.358   143.229   807.290    22.864     0.202  
 208208    272.561   706.362   426.820    22.522     0.210  
 332628    279.017   369.799   680.133    22.455     0.207  
 370788    285.420   113.243   759.068    22.619     0.192  
 715828    266.351  1073.783  1475.178    22.726     0.209  
 349938    298.885  1317.493   714.479    22.260     0.221  
 520788    164.151   353.823  1067.963    23.412     0.213  
 650118    254.351   240.326  1337.317    22.419     0.189  
 616848    228.651   654.162  1267.100    23.127     0.235  
 496168    291.996   282.055  1018.286    22.352     0.190  
 363418    282.467   703.658   743.841    22.802     0.220  
 453118    280.047  1334.000   928.180    22.666     0.231  
 597358    248.556   740.721  1226.139    22.720     0.207  
 133738    278.917   550.455   275.260    22.300     0.206  
 618848    266.351   715.117  1270.588    22.621     0.202  
 528068    298.885   201.389  1083.082    21.849     0.188  
 647298    289.495   235.464  1331.471    22.564     0.188  
 664938    266.351   333.671  1367.528    22.624     0.193  
 472288    211.521   161.500   968.293    22.770     0.197  
 146328    254.351   265.218   300.909    22.352     0.202  
 672108    219.564   769.800  1383.005    23.299     0.209  
 266268    197.301   162.507   545.247    23.137     0.207  
 380338    229.495   243.303   777.549    22.835     0.199  
 594598    290.564   483.370  1220.333    22.604     0.197  
 727508    291.637   789.542  1500.190    22.351     0.195  
 476258    237.529   536.407   976.140    22.914     0.208  
 617928    222.279  1197.375  1269.431    23.222     0.246  
 87888    262.712   446.094   181.790    22.899     0.225  
 203508    292.075   506.223   417.405    22.772     0.217  
 638908    292.075  1319.046  1313.654    22.438     0.223  
 628028    254.351   614.897  1290.244    22.888     0.195  
 255828    242.893   335.968   523.843    22.872     0.212  
 17238    285.420  1005.132    36.353    22.598     0.303  
 281658    298.160   451.896   576.932    22.360     0.202  
 613008    283.859   569.733  1259.110    22.611     0.195  
 311968    280.736   127.058   639.204    23.048     0.199  
 602908    188.497   721.596  1238.312    23.667     0.232  
 580718    155.642   561.868  1190.983    23.385     0.315  
 678788    248.556   823.067  1396.599    23.084     0.198  
 296168    272.561   587.797   605.780    22.036     0.213  
 419548    291.279   621.490   858.871    22.673     0.215  
 315638    266.351    97.712   646.081    22.768     0.205  
 695688    219.564   590.231  1433.013    22.709     0.195  
 249488    278.917   908.636   510.508    21.974     0.211  
 523818    212.138   669.354  1074.058    23.390     0.248  
 699468    235.206   760.503  1441.309    22.658     0.211  
 642518    148.359   386.037  1320.716    23.599     0.207  
 124678    292.075  1203.963   255.906    22.276     0.310  
 411428    251.343   465.240   842.177    22.758     0.213  
 657898    216.350   865.844  1352.808    22.894     0.198  
 400198    218.219   747.982   819.229    22.840     0.241  
 649358    260.282  1158.361  1335.152    22.563     0.213  
 323638    285.420  1285.386   661.373    22.395     0.274  
 2168908    192.892   406.781   355.472    22.684     0.213  
 573988    204.459   519.381  1177.531    22.993     0.196  
 363538    298.885  1185.823   743.817    22.486     0.235  
 670268    266.351   851.739  1379.022    22.486     0.198  
 473358    276.627   765.202   970.210    22.879     0.250  
 606898    233.191  1195.817  1245.831    22.650     0.290  
 583858    240.171   897.050  1196.589    22.935     0.248  
 2579478    126.299   599.205  1201.109    23.455     0.268  
 638338    283.858  1123.039  1311.593    22.867     0.205  
 597278    207.497   383.770  1226.086    23.129     0.204  
 427868    298.885   675.150   876.063    22.608     0.217  
 188478    260.282   522.586   385.196    22.918     0.238  
 489358    278.917   210.242  1003.773    22.916     0.202  
 431568    248.556   254.384   883.858    22.707     0.195  
 66608    287.368   907.036   138.700    22.933     0.325  
 358978    250.418   188.432   736.150    22.890     0.199  
 301518    289.851   282.303   617.766    23.054     0.204  
 462998    285.420   716.384   949.504    22.838     0.255  
 393228    291.996   485.876   799.058    22.590     0.218  
 82448    293.435   701.763   170.915    22.358     0.253  
 279318    228.932   702.187   571.424    22.956     0.261  
