 ID    Period    HX    HY    HMag   eHMag 
 434878    266.351   198.778   897.428    22.343     0.195  
 210048    293.074  1025.448   430.910    22.067     0.209  
 257428    251.343   186.118   526.346    23.268     0.209  
 544218    285.420   623.267  1115.368    22.806     0.218  
 45778    297.428  1163.107    93.713    22.789     0.296  
 197238    220.917   292.509   404.256    22.839     0.216  
 2659138    237.358  1081.393  1357.577    23.005     0.308  
 50018    290.207   580.996   104.724    21.944     0.203  
 134198    275.244   738.268   276.408    23.041     0.315  
 251428    244.339   388.154   515.331    22.981     0.224  
 481988    260.282   926.854   988.578    22.896     0.216  
 284738    272.561   861.839   582.541    22.750     0.280  
 237418    221.500   647.811   486.566    22.568     0.309  
 385098    278.917  1283.219   786.706    22.899     0.242  
 251098    186.687  1008.364   514.026    22.991     0.291  
 153748    298.885   954.290   316.074    23.075     0.248  
 206138    278.917  1511.589   421.195    22.499     0.317  
 431188    196.334   506.849   882.849    23.538     0.234  
 2052648    277.308  1284.940   111.922    23.040     0.315  
 599928    287.722  1294.365  1231.291    22.410     0.213  
 2028568    286.311  1099.497    61.265    23.279     0.303  
 378548    247.968   583.649   774.141    23.240     0.236  
 350188    277.308   314.128   716.407    22.994     0.219  
 365908    248.556   615.223   749.056    23.030     0.242  
 552568    260.282   458.286  1132.942    21.978     0.192  
 304978    254.351   849.301   623.650    22.824     0.264  
 305118    238.114  1093.543   623.910    22.684     0.222  
 597388    236.655   789.975  1225.944    23.001     0.201  
 237378    234.628   350.446   487.379    22.668     0.330  
 143428    242.893  1472.832   293.590    22.438     0.295  
 90728    257.597  1304.056   187.675    22.384     0.309  
 266418    270.908   666.132   544.925    22.914     0.288  
 488348    130.721   228.918  1002.536    23.084     0.201  
 229138    162.683  1022.328   468.840    23.600     0.310  
 364508    271.909   679.321   746.098    22.531     0.219  
 732058    278.917   804.487  1510.131    22.522     0.194  
 2165378    146.283   284.463   348.510    23.604     0.281  
 158838    285.420  1335.321   325.615    22.441     0.309  
 119318    292.075  1108.759   245.247    22.404     0.237  
 338348    237.358   725.402   691.057    23.118     0.353  
 2342328    292.075  1620.786   717.294    23.240     0.299  
 51608    213.445  1207.154   108.278    23.459     0.313  
 83558    267.928  1202.454   172.641    22.669     0.311  
 627778    298.894  1411.555  1288.953    22.596     0.228  
 2170578    278.917   618.569   358.172    22.396     0.238  
 172648    276.627   816.521   354.173    22.772     0.221  
 452678    260.282  1412.170   926.641    22.887     0.250  
 363638    206.702  1361.535   744.105    23.138     0.292  
 376728    267.271  1426.288   769.599    22.633     0.250  
 149268    241.651   484.351   306.272    23.271     0.275  
 667528    263.750  1064.772  1373.126    22.665     0.210  
 500498    221.500  1475.963  1026.460    23.247     0.328  
 635618    285.420  1334.680  1305.836    22.796     0.231  
 319888    254.351   405.072   654.192    22.768     0.203  
 446388    192.275  1243.554   913.517    23.270     0.300  
 533938    296.334   853.645  1095.187    23.052     0.228  
 2075878    298.885  1305.445   161.798    22.680     0.297  
 89868    266.351   825.828   185.970    22.765     0.316  
 421128    285.420  1280.317   861.957    22.427     0.256  
 2267358    281.082  1191.527   562.747    22.480     0.315  
 136098    149.694   374.140   280.484    23.890     0.280  
 2263338    171.895   402.399   555.511    23.753     0.305  
 314498    279.360  1534.819   643.749    22.542     0.319  
 615758    141.939   277.414  1265.427    24.181     0.281  
 665098    256.649   937.887  1368.188    22.854     0.234  
 198318    292.355  1057.224   406.234    22.343     0.216  
 340818    292.075   792.437   695.392    22.776     0.221  
 129908    282.120  1308.901   266.712    22.691     0.302  
 656068    194.892  1234.344  1348.928    23.599     0.353  
 620928    285.420  1427.616  1275.159    22.482     0.224  
 512128    273.584   959.770  1049.278    22.815     0.227  
 429358    253.203  1524.067   879.005    22.408     0.293  
 2192618    270.575  1566.427   404.160    22.238     0.315  
 299508    238.114   447.056   614.338    23.166     0.237  
 452248    298.886  1371.536   925.594    23.094     0.273  
 649828    203.958  1044.858  1335.605    23.253     0.320  
 525638    292.075  1227.383  1078.392    22.161     0.210  
 2616438    173.631   970.306  1275.201    24.529     0.351  
 344478    285.420   724.740   703.732    22.113     0.206  
