ID    Period    HX    HY    HMag    eHMag
    23714  265.174 1081.781  626.979   22.256    0.196 
    29029  348.202  415.702  752.997   22.150    0.160 
    29292  353.909  403.357  758.527   21.846    0.133 
    25881  339.980  776.389  678.286   21.841    0.198 
    41352  335.042  454.495 1037.294   21.980    0.157 
    45894  393.071  790.885 1145.307   21.626    0.097 
    11472  381.978  883.560  334.079   21.671    0.165 
    32035  265.909  736.590  820.427   22.184    0.185 
    30187  281.420 1122.688  779.403   22.391    0.148 
    25232  371.442  582.292  662.731   22.374    0.224 
    15449  392.410 1036.308  431.194   21.825    0.142 
    24839  399.390  467.447  653.778   21.788    0.177 
    42552  398.358  704.148 1065.964   22.319    0.090 
    24682  388.352  837.330  649.573   21.505    0.169 
    29075  298.422  480.527  754.009   21.897    0.155 
    17254  374.365  590.901  473.560   22.119    0.181 
    46061  342.466  622.838 1148.613   22.241    0.092 
    34387  281.139  889.091  873.604   21.652    0.165 
    10620  383.575  946.395  312.929   21.689    0.158 
    43917  341.251  751.080 1098.474   21.913    0.129 
    21986  280.428  995.553  585.816   22.307    0.136 
    32045  355.180 1054.312  820.939   22.148    0.137 
    34391  352.326 1043.369  874.434   22.064    0.097 
    15527  243.041  973.282  433.420   23.295    0.319 
    20429  379.713  608.309  549.129   22.186    0.129 
    25661  362.801  679.229  672.875   21.897    0.177 
    24802  318.970  856.213  653.200   21.977    0.126 
   244560  247.088  640.347 1116.696   22.616    0.174 
    22398  338.483  656.036  596.363   22.086    0.143 
    34816  281.974  528.544  883.570   22.231    0.151 
    19311  384.500  680.099  522.325   21.479    0.174 
    22153  337.914  369.127  589.996   22.422    0.168 
    14407  303.221 1055.495  406.291   22.051    0.173 
    47483  317.284  650.242 1184.414   22.281    0.100 
    35681  319.070  764.983  903.454   22.163    0.153 
    40483  328.519  341.092 1014.663   22.002    0.143 
    18589  248.727 1155.001  505.080   22.969    0.192 
    27471  320.636 1107.995  714.793   21.898    0.107 
    15413  281.734  990.148  429.817   22.788    0.144 
    23839  394.423 1048.723  630.073   22.289    0.137 
    36829  296.984  549.731  929.345   22.420    0.138 
    14898  292.702  651.860  418.108   22.142    0.260 
    34203  292.842  504.177  870.227   22.069    0.148 
    38687  344.817  724.905  971.477   22.033    0.115 
    17350  343.688  775.578  475.759   22.139    0.157 
    36831  246.239  602.051  929.218   22.398    0.167 
    14139  340.482 1025.836  400.131   21.938    0.144 
    12766  378.592  893.869  366.284   21.846    0.097 
    20699  326.167 1078.197  555.262   21.903    0.130 
    26333  329.494 1116.168  688.412   22.272    0.118 
    31018  371.402  907.747  798.043   21.911    0.102 
    31854  382.018  475.609  816.650   21.925    0.153 
    20394  269.303  880.457  547.986   22.411    0.165 
    25252  298.101 1144.494  662.977   21.993    0.191 
    26000  360.563  452.701  681.473   21.628    0.145 
    32299  292.942  674.695  827.420   22.054    0.180 
    38287  306.111  993.873  961.528   21.911    0.140 
    22370  270.130 1037.566  595.084   21.909    0.215 
    27684  324.993  738.495  720.867   22.141    0.161 
    23917  281.440  701.590  632.436   22.097    0.251 
    37669  258.404  841.357  948.426   22.372    0.182 
    19241  281.834  905.468  520.243   22.390    0.205 
    47480  278.077  591.999 1183.819   22.435    0.128 
    44543  365.250  595.462 1113.112   21.914    0.097 
   229157  334.081  723.916  760.198   22.075    0.204 
    25314  355.140  723.770  664.848   21.883    0.139 
    32438  288.123  800.749  830.134   22.485    0.164 
   230072  380.350  781.048  782.127   22.260    0.169 
    12460  264.382  867.180  358.132   22.305    0.191 
    33105  267.773  992.898  844.891   22.232    0.244 
    40818  267.753  768.645 1022.045   22.831    0.133 
    23431  268.890 1184.209  620.630   22.054    0.171 
    14943  377.442  704.146  419.168   21.954    0.160 
    49294  284.219  654.424 1228.739   22.279    0.111 
    38858  243.755  869.877  975.438   22.453    0.237 
    13296  323.426  749.666  379.083   21.789    0.122 
    24746  280.102  421.748  651.577   22.230    0.166 
    25231  306.677  551.155  662.547   21.873    0.238 
    24273  336.074 1171.166  639.442   21.949    0.172 
    28875  360.984 1032.532  749.130   21.714    0.120 
    23670  274.309  384.006  625.006   22.404    0.210 
    15962  370.564  797.112  443.146   21.903    0.115 
    35901  327.929  499.893  907.631   21.288    0.137 
    26050  366.196  767.514  682.620   21.830    0.124 
   216016  331.223  592.109  446.936   21.903    0.197 
    36019  339.519 1028.185  910.096   22.222    0.158 
